frame_idx,timestamp_ms,bone_name,start_joint,end_joint,confidence,human_delta_deg,applied_angle_deg,target_x,target_y,target_z
45,1500.0,leg_joint_L_1,left_hip,left_knee,0.9043,44.7076,44.7076,0.1749,-0.10772,-0.97868
45,1500.0,leg_joint_L_2,left_knee,left_ankle,0.9043,87.5368,87.5368,0.79617,-0.412,-0.44314
45,1500.0,leg_joint_R_1,right_hip,right_knee,0.7738,25.1987,25.1987,0.24262,-0.08149,-0.96669
45,1500.0,leg_joint_R_2,right_knee,right_ankle,0.7738,79.228,79.228,0.66273,-0.29438,-0.68857
45,1500.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9969,86.8525,86.8525,-0.72798,0.58303,0.36073
50,1666.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.524,29.7927,29.7927,0.4171,0.90518,-0.08166
50,1666.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.4672,68.5687,68.5687,0.2839,0.56502,-0.7747
50,1666.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.574,48.0669,48.0669,0.42024,0.87729,-0.23187
50,1666.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.574,74.3671,74.3671,0.88612,0.22061,-0.40758
50,1666.0,leg_joint_L_1,left_hip,left_knee,0.8838,47.4821,47.4821,0.10881,-0.03691,-0.99338
50,1666.0,leg_joint_L_2,left_knee,left_ankle,0.8252,57.1196,57.1196,0.57067,-0.08104,-0.81717
50,1666.0,leg_joint_R_1,right_hip,right_knee,0.8417,28.6123,28.6123,0.19229,-0.03858,-0.98058
50,1666.0,leg_joint_R_2,right_knee,right_ankle,0.8417,55.0527,55.0527,0.39787,-0.01181,-0.91737
50,1666.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9979,40.5225,40.5225,-0.73154,-0.18306,0.65677
55,1833.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.5283,64.0968,64.0968,-0.0683,0.88588,-0.45885
55,1833.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.449,61.0427,61.0427,0.18901,0.65549,-0.73117
55,1833.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.5483,55.887,55.887,-0.05826,0.85363,-0.51762
55,1833.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.4947,43.877,43.877,0.54866,0.61921,-0.56174
55,1833.0,leg_joint_L_1,left_hip,left_knee,0.8833,47.6388,47.6388,-0.1259,0.00104,-0.99204
55,1833.0,leg_joint_L_2,left_knee,left_ankle,0.8723,30.0059,30.0059,0.14683,0.23858,-0.95996
55,1833.0,leg_joint_R_1,right_hip,right_knee,0.8349,33.7576,33.7576,0.02172,-0.03734,-0.99907
55,1833.0,leg_joint_R_2,right_knee,right_ankle,0.8349,36.5124,36.5124,0.0391,0.20132,-0.97874
55,1833.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9976,25.7819,25.7819,-0.12072,-0.25038,0.96059
60,2000.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.6092,103.4844,103.4844,-0.60698,0.47748,-0.63529
60,2000.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.3278,61.4375,61.4375,0.06293,0.61611,-0.78514
60,2000.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.4309,60.7634,60.7634,-0.61572,0.67746,-0.40241
60,2000.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.3157,25.7883,25.7883,0.19705,0.76262,-0.6161
60,2000.0,leg_joint_L_1,left_hip,left_knee,0.9253,54.4233,54.4233,-0.411,0.09316,-0.90686
60,2000.0,leg_joint_L_2,left_knee,left_ankle,0.9196,32.3638,32.3638,-0.24781,0.2246,-0.94242
60,2000.0,leg_joint_R_1,right_hip,right_knee,0.849,51.6075,51.6075,-0.34953,0.02136,-0.93668
60,2000.0,leg_joint_R_2,right_knee,right_ankle,0.849,38.9858,38.9858,-0.44883,0.20319,-0.87021
60,2000.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9975,39.0256,39.0256,0.2831,-0.2223,0.93297
65,2166.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.4867,122.4495,122.4495,-0.66996,0.15893,-0.72518
65,2166.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.2047,50.1539,50.1539,-0.14501,0.71118,-0.6879
65,2166.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.5036,84.6803,84.6803,-0.67735,0.34899,-0.64762
65,2166.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.2174,44.9773,44.9773,-0.74162,0.66818,-0.05942
65,2166.0,leg_joint_L_1,left_hip,left_knee,0.9255,49.13,49.13,-0.5787,-0.06383,-0.81304
65,2166.0,leg_joint_L_2,left_knee,left_ankle,0.9255,35.969,35.969,-0.38481,0.22239,-0.89581
65,2166.0,leg_joint_R_1,right_hip,right_knee,0.8494,59.5613,59.5613,-0.56589,-0.10263,-0.81807
65,2166.0,leg_joint_R_2,right_knee,right_ankle,0.8494,48.3223,48.3223,-0.68696,0.17027,-0.70646
65,2166.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9915,50.4442,50.4442,0.48539,-0.15354,0.86071
70,2333.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.3017,119.8346,119.8346,-0.8409,0.22298,-0.49312
70,2333.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.462,106.3711,106.3711,-0.79345,-0.09497,-0.60119
70,2333.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.2116,44.9773,44.9773,-0.74162,0.66818,-0.05942
70,2333.0,leg_joint_L_1,left_hip,left_knee,0.8663,53.2773,53.2773,-0.71634,-0.07353,-0.69386
70,2333.0,leg_joint_L_2,left_knee,left_ankle,0.8663,50.6776,50.6776,-0.62774,0.09609,-0.77247
70,2333.0,leg_joint_R_1,right_hip,right_knee,0.886,61.655,61.655,-0.62703,-0.18744,-0.75611
70,2333.0,leg_joint_R_2,right_knee,right_ankle,0.886,58.8109,58.8109,-0.74462,-0.00192,-0.66749
70,2333.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9933,59.0976,59.0976,0.60336,-0.0769,0.79375
75,2500.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.3085,117.6705,117.6705,-0.95091,0.21314,-0.22438
75,2500.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.1997,50.1539,50.1539,-0.14501,0.71118,-0.6879
75,2500.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.644,100.2853,100.2853,-0.73591,0.05744,-0.67463
75,2500.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.4452,65.5072,65.5072,-0.91972,0.26903,-0.2859
75,2500.0,leg_joint_L_1,left_hip,left_knee,0.8078,60.512,60.512,-0.8384,-0.0474,-0.543
75,2500.0,leg_joint_L_2,left_knee,left_ankle,0.8078,71.8919,71.8919,-0.83538,-0.12403,-0.5355
75,2500.0,leg_joint_R_1,right_hip,right_knee,0.9068,61.2004,61.2004,-0.60111,-0.126,-0.78917
75,2500.0,leg_joint_R_2,right_knee,right_ankle,0.9068,63.2394,63.2394,-0.70525,-0.11821,-0.69903
75,2500.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9925,64.4241,64.4241,0.65983,-0.01635,0.75124
80,2666.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.5461,115.5732,115.5732,-0.96643,0.22113,-0.13082
80,2666.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.4361,61.5199,61.5199,-0.80335,0.31167,-0.50743
80,2666.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.6397,85.4543,85.4543,-0.82892,0.25363,-0.49857
80,2666.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.4957,22.8471,22.8471,-0.45542,0.83172,-0.31756
80,2666.0,leg_joint_L_1,left_hip,left_knee,0.8204,66.749,66.749,-0.9047,-0.01058,-0.42593
80,2666.0,leg_joint_L_2,left_knee,left_ankle,0.8204,89.5979,89.5979,-0.76515,-0.46895,-0.44116
80,2666.0,leg_joint_R_1,right_hip,right_knee,0.8992,63.284,63.284,-0.60917,-0.06121,-0.79068
80,2666.0,leg_joint_R_2,right_knee,right_ankle,0.8992,70.3334,70.3334,-0.7081,-0.24121,-0.66364
80,2666.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9922,73.9281,73.9281,0.7565,0.07639,0.64952
85,2833.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.6347,124.533,124.533,-0.99702,0.0294,-0.07126
85,2833.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.5187,90.9847,90.9847,-0.92216,-0.2738,-0.27323
85,2833.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.3947,81.9386,81.9386,-0.94515,0.20077,-0.25763
85,2833.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.3111,27.4597,27.4597,-0.52411,0.8238,-0.21602
85,2833.0,leg_joint_L_1,left_hip,left_knee,0.8666,55.7849,55.7849,-0.87236,-0.2457,-0.42264
85,2833.0,leg_joint_L_2,left_knee,left_ankle,0.8666,91.6738,91.6738,-0.68068,-0.55804,-0.47461
85,2833.0,leg_joint_R_1,right_hip,right_knee,0.8805,65.1055,65.1055,-0.69385,-0.28925,-0.65947
